model,phase,n_inputs,repeat,time_s
gpu,init,1,25,0.29738150001503527
gpu,init,1,26,0.2997680999687873
gpu,init,1,27,0.32361640001181513
gpu,init,1,28,0.3322905999957584
gpu,init,1,29,0.3108026999980211
gpu,jit,1,0,0.6628062999807298
gpu,jit,1,1,0.28137370001059026
gpu,jit,1,2,0.2724913000129163
gpu,jit,1,3,0.28181419998873025
gpu,jit,1,4,0.3008555000415072
gpu,jit,1,5,0.2778995999833569
gpu,jit,1,6,0.2729564000037499
gpu,jit,1,7,0.2791150000412017
gpu,jit,1,8,0.28755890001775697
gpu,jit,1,9,0.3256750999717042
gpu,jit,1,10,0.28134779998799786
gpu,jit,1,11,0.3035569000057876
gpu,jit,1,12,0.2810579999932088
gpu,jit,1,13,0.25745530001586303
gpu,jit,1,14,0.2805219999863766
gpu,jit,1,15,0.27440540003590286
gpu,jit,1,16,0.3452613999834284
gpu,jit,1,17,0.3448706000344828
gpu,jit,1,18,0.2907087000203319
gpu,jit,1,19,0.2827532000374049
gpu,jit,1,20,0.27408900001319125
gpu,jit,1,21,0.48295640002470464
gpu,jit,1,22,0.2817413000157103
gpu,jit,1,23,0.27708369999891147
gpu,jit,1,24,0.36291979998350143
gpu,jit,1,25,0.34598490002099425
gpu,jit,1,26,0.347424499981571
gpu,jit,1,27,0.39421539998147637
gpu,jit,1,28,0.3200068000005558
gpu,jit,1,29,0.30228709999937564
gpu,warm,1,0,0.0011806999682448804
gpu,warm,1,1,0.0009055999689735472
gpu,warm,1,2,0.0009142999770119786
gpu,warm,1,3,0.0008711999980732799
gpu,warm,1,4,0.0008551999926567078
gpu,warm,1,5,0.0008640000014565885
gpu,warm,1,6,0.0013445999938994646
gpu,warm,1,7,0.0010867000091820955
gpu,warm,1,8,0.001194500015117228
gpu,warm,1,9,0.0009046000195667148
gpu,warm,1,10,0.0017242999747395515
gpu,warm,1,11,0.0013504999806173146
gpu,warm,1,12,0.001264000020455569
gpu,warm,1,13,0.0009142000344581902
gpu,warm,1,14,0.0009126999648287892
gpu,warm,1,15,0.0010384999914094806
gpu,warm,1,16,0.0009058999712578952
gpu,warm,1,17,0.0008022999973036349
gpu,warm,1,18,0.0008136999676935375
gpu,warm,1,19,0.0008177999989129603
gpu,warm,1,20,0.000810900004580617
gpu,warm,1,21,0.0009811000199988484
gpu,warm,1,22,0.0008999999845400453
gpu,warm,1,23,0.000840199994854629
gpu,warm,1,24,0.0009691999875940382
gpu,warm,1,25,0.0009059000294655561
gpu,warm,1,26,0.0011082999990321696
gpu,warm,1,27,0.0012381999986246228
gpu,warm,1,28,0.0009261000086553395
gpu,warm,1,29,0.00100760004715994
eaim,warm,10,0,0.47381870000390336
eaim,warm,10,1,0.5075668000499718
eaim,warm,10,2,0.5468655999866314
eaim,warm,10,3,0.4839570000185631
eaim,warm,10,4,0.45447960001183674
eaim,warm,10,5,0.5048755000461824
eaim,warm,10,6,0.5017605000175536
eaim,warm,10,7,0.5696033000131138
eaim,warm,10,8,0.6219858999829739
eaim,warm,10,9,0.5854689999832772
eaim,warm,10,10,0.5140008999733254
eaim,warm,10,11,0.5882858000113629
eaim,warm,10,12,0.4828998999437317
eaim,warm,10,13,0.5446510000037961
eaim,warm,10,14,0.5809323999565095
eaim,warm,10,15,0.5020614999812096
eaim,warm,10,16,0.4790062999818474
eaim,warm,10,17,0.5350690000341274
eaim,warm,10,18,0.47278340003686026
eaim,warm,10,19,0.4758777999668382
eaim,warm,10,20,0.4997408000053838
eaim,warm,10,21,0.5869518999825232
eaim,warm,10,22,0.5026013000169769
eaim,warm,10,23,0.4723010000307113
eaim,warm,10,24,0.5029478999786079
eaim,warm,10,25,0.614811200008262
eaim,warm,10,26,0.5402063999790698
eaim,warm,10,27,0.5603591999970376
eaim,warm,10,28,0.5475675000343472
eaim,warm,10,29,0.4911022000014782
cpu,init,10,0,2.500019036233425e-06
cpu,init,10,1,4.200031980872154e-06
cpu,init,10,2,3.400025889277458e-06
cpu,init,10,3,4.700035788118839e-06
cpu,init,10,4,4.699977580457926e-06
cpu,init,10,5,3.89997148886323e-06
cpu,init,10,6,3.900029696524143e-06
cpu,init,10,7,3.7999707274138927e-06
cpu,init,10,8,3.5999692045152187e-06
cpu,init,10,9,3.400025889277458e-06
cpu,init,10,10,3.5999692045152187e-06
cpu,init,10,11,4.00003045797348e-06
cpu,init,10,12,3.8000289350748062e-06
cpu,init,10,13,5.700043402612209e-06
cpu,init,10,14,3.7999707274138927e-06
cpu,init,10,15,4.00003045797348e-06
cpu,init,10,16,4.100031219422817e-06
cpu,init,10,17,3.200024366378784e-06
cpu,init,10,18,3.700028173625469e-06
cpu,init,10,19,4.099973011761904e-06
cpu,init,10,20,3.89997148886323e-06
cpu,init,10,21,4.199973773211241e-06
